twitter,domain,name,type
FigueirenseFC,figueirense.com.br,Figueirense FC,sports
SevillaFC,sevillafc.es,Sevilla Fútbol Club,sports
AllBlacks,allblacks.com,All Blacks,sports
AVFCOfficial,avfc.co.uk,Aston Villa FC,sports
SL_Benfica,slbenfica.pt,Sport Lisboa Benfica,sports
Sixers,Sixers.com,Philadelphia 76ers,sports
NHLFlyers,philadelphiaflyers.com,Philadelphia Flyers,sports
sccp,victormelges.wordpress.com,Corinthians,sports
CriciumaEC,criciumaec.com.br,Criciúma E.C.,sports
EnglandRugby,englandrugby.com,England Rugby,sports
ussoccer_wnt,ussoccer.com,U.S. Soccer WNT,sports
goiasec_oficial,.br,Goiás Esporte Clube,sports
whufc_official,whufc.com,West Ham United FC,sports
AthleticClub,athletic-club.eus,Athletic Club,sports
biathlonrus,biathlonrus.com,Союз биатлонистов RU,sports
Browns,clevelandbrowns.com,Cleveland Browns,sports
MU_Spokesperson,manutd.com,MU Spokesperson,sports
America_FC,,Club America,sports
Vikings,vikings.com,Minnesota Vikings,sports
WNBA,wnba.com,WNBA,sports
MiamiDolphins,dolphins.com,Miami Dolphins,sports
Redskins,redskins.com,Washington Redskins,sports
zenit_spb,fc-zenit.ru,ФК «Зенит»,sports
TeamCanada,olympic.ca,Team Canada,sports
trailblazers,trailblazers.com,Trail Blazers,sports
AFL,afl.com.au,AFL,sports
chiefs,chiefs.com,Kansas City Chiefs,sports
Magallanes_bbc,magallanesbbc.com.ve,Magallanes BBC,sports
WilliamsRacing,williamsmartiniracing.com,WILLIAMS RACING,sports
FVF_Oficial,federacionvenezolanadefutbol.org,FVF,sports
TeamSky,teamsky.com,Team Sky,sports
ColoColo,colocolo.cl,Colo-Colo,sports
clubleonfc,clubleon.mx,Club León,sports
Colts,colts.com,Indianapolis Colts,sports
FCBayernEN,fcbayern.de,FC Bayern English,sports
Chargers,chargers.com,San Diego #Chargers,sports
Suns,suns.com,#WeArePHX,sports
memgrizz,grizzlies.com,Memphis Grizzlies,sports
DFB_Team_EN,dfb.de,Germany,sports
Reds,reds.com,Cincinnati Reds,sports
EdmontonOilers,edmontonoilers.com,Edmonton Oilers,sports
Royals,royals.com,Royals,sports
Mets,mets.com,New York Mets,sports
SouthamptonFC,saintsfc.co.uk,Southampton FC,sports
FNATIC,fnatic.com,FNATIC,sports
TheMasters,masters.com,Masters Tournament,sports
JFA,jfa.jp,日本サッカー協会,sports
AroundTheNFL,youtube.com,Around The NFL,sports
fcsm_official,spartak.com,FC Spartak Moscow,sports
FCBbasket,fcbarcelona.cat,FCB Basket,sports
PersibOfficial,persib.co.id,PERSIB,sports
sochi2014_ru,sochi2014.com,Игры Сочи 2014,sports
DetroitPistons,pistons.com,Detroit Pistons,sports
buffalobills,buffalobills.com,Buffalo Bills,sports
FCBmasia,fcbarcelona.cat,FC Barcelona - Masia,sports
ASSEofficiel,asse.fr,ASSE,sports
SwansOfficial,swanseacity.net,Swansea City AFC,sports
fifaworldcup_ar,ar.fifa.com,FIFA.com AR live,sports
Bengals,bengals.com,Cincinnati Bengals,sports
Vivo_Azzurro,vivoazzurro.it,Nazionale Italiana,sports
NBAOfficial,nba.com,NBA Official,sports
hornets,hornets.com,Charlotte Hornets,sports
WashWizards,WashingtonWizards.com,Washington Wizards,sports
ClubSantos,clubsantos.mx,ClubSantosLaguna,sports
Pirates,pirates.com,Pittsburgh Pirates,sports
nuggets,nuggets.com,Denver Nuggets,sports
UEFAEURO,euro2016.tickets.uefa.com,UEFA EURO 2016,sports
ATLHawks,Hawks.com,Atlanta Hawks,sports
IrishRugby,irishrugby.ie,Irish Rugby,sports
UEFAcom_es,es.uefa.com,UEFA.com en español,sports
ManUtd_ID,manutd.com,Manchester United,sports
XolosOficial,xolos.com.mx,@XolosOficial,sports
Trabzonspor,trabzonspor.org.tr,Trabzonspor Kulübü,sports
FFF,fff.fr,FFF,sports
marchmadness,ncaa.com,NCAA March Madness,sports
MalagaCF,malagacf.com,Málaga CF,sports
SunderlandAFC,safc.com,Sunderland AFC,sports
losclive,losc.fr,LOSC,sports
TeamHendrick,hendrickmotorsports.com,Hendrick Motorsports,sports
Universitario,clubuniversitario.pe,Universitario,sports
WTA,wtatennis.com,WTA,sports
utahjazz,utahjazz.com,Utah Jazz,sports
udechile,udechile.cl,Universidad de Chile,sports
Orioles,orioles.com,Baltimore Orioles,sports
cricketworldcup,cricketworldcup.com,Cricket World Cup,sports
Timberwolves,timberwolves.com,Timberwolves,sports
ESL,eslgaming.com,ESL,sports
KNVB,knvb.nl,KNVB,sports
mnwild,wild.com,Minnesota Wild,sports
atlasfc,atlasfc.com.mx,Atlas FC,sports
PelicansNBA,pelicans.com,New Orleans Pelicans,sports
Bucks,bucks.com,Milwaukee Bucks,sports
SacramentoKings,Kings.com,Sacramento Kings,sports
stokecity,stokecityfc.com,Stoke City FC,sports
nblindonesia,nblindonesia.com,NBL Indonesia,sports
NBAAllStar,nba.com,2016 NBA All-Star,sports
NHLPA,nhlpa.com,NHLPA,sports
Orlando_Pirates,orlandopiratesfc.com,Orlando Pirates FC,sports
BCBtigers,tigercricket.com.bd,Bangladesh Cricket,sports
NHLFlames,calgaryflames.com,Calgary Flames,sports
Tuzos,pachuca.futbol,Club Pachuca,sports
RealSociedad,realsociedad.com,Real Sociedad Fútbol,sports
Springboks,sarugby.co.za,South African Rugby,sports
acffiorentina,violachannel.tv,ACF Fiorentina,sports
Angels,angels.com,Angels,sports
FHR_RU,FHR.ru,Russian Ice Hockey,sports
BelRedDevils,,BelgianRedDevils,sports
ToulouseFC,tfc.info,Toulouse FC Officiel,sports
Indians,indians.com,Cleveland Indians,sports
StLouisBlues,stlouisblues.com,#HockeyFightsCancer,sports
TolucaFC,tolucafc.com,Toluca FC,sports
AsoDeporCali,DeportivoCali.co,Deportivo Cali,sports
ForceIndiaF1,saharaforceindiaf1.com,Sahara Force India,sports
juventusfcen,juventus.com,JuventusFC,sports
Sporting_CP,sporting.pt,Sporting CP,sports
umichfootball,MGoBlue.com,Michigan Football,sports
SauberF1Team,sauberf1team.com,Sauber F1 Team,sports
whitesox,whitesox.com,Chicago White Sox,sports
azzurri,vivoazzurro.it,Italy,sports
ManorF1Team,,Manor F1 Team,sports
washcaps,WashingtonCaps.com,Washington Capitals,sports
Twins,,Minnesota Twins,sports
s04,schalke04.de,FC Schalke 04,sports
NRL,nrl.com,NRL,sports
StreetLeague,streetleague.com,STREET LEAGUE,sports
ZSCOfficial,,Zamalek SC,sports
WBAFCofficial,wba.co.uk,West Bromwich Albion,sports
CSEmelec,emelec.com.ec,Club Sport Emelec,sports
PFC_CSKA_MOSCOW,pfc-cska.com,PFC CSKA MOSCOW,sports
AlAinFans_,youtube.com,AlAin Club News,sports
SanJoseSharks,sjsharks.com,San Jose Sharks,sports
UEFA,uefa.org,UEFA,sports
TBBuccaneers,,Tampa Bay Buccaneers,sports
CONMEBOL,conmebol.com,CONMEBOL.com,sports
CrossFit,crossfit.com,CrossFit,sports
ALAHLI_FC,alahlifc.sa,النادي الأهلي ,sports
Nationals,nationals.com,Washington Nationals,sports
AmericadeCali,americadecali.co,América de Cali,sports
Mariners,mariners.com,Seattle Mariners,sports
Senators,ottawasenators.com,Ottawa Senators,sports
NHLJets,winnipegjets.com,Winnipeg Jets,sports
Titans,titansonline.com,Tennessee Titans,sports
TeamRazer,,Team Razer,sports
TBLightning,tampabaylightning.com,Tampa Bay Lightning,sports
afa,afa.org.ar,AFA,sports
lionsofficial,lionsrugby.com,British&Irish Lions,sports
CA2015,ca2015.com,Copa América 2015,sports
BuffaloSabres,sabres.com,Buffalo Sabres,sports
HAWKS_official,softbankhawks.co.jp,福岡ソフトバンクホークス（公式）,sports
ToroRossoSpy,tororosso.com,Toro Rosso,sports
Brewers,brewers.com,Milwaukee Brewers,sports
RealBetis,realbetisbalompie.es,Real Betis Balompié,sports
celticfc,celticfc.net,Celtic Football Club,sports
ManUtd_Es,espanol.manutd.com,Manchester United,sports
STLouisRams,stlouisrams.com,St. Louis Rams,sports
PueblaFC,puebla-fc.com,Puebla F.C,sports
PGAcom,pga.com,PGA.COM,sports
QPRFC,qpr.co.uk,QPR FC,sports
GoldenBoyBoxing,goldenboypromotions.com,GoldenBoyPromotions,sports
JuniorClubSA,juniorfc.co,Club Junior FC,sports
Euroleague,euroleague.net,EuroleagueBasketball,sports
fifacom_pt,pt.fifa.com,FIFA.com português,sports
natusvincere,navi-gaming.com,Natus Vincere,sports
astros,astros.com,Houston Astros,sports
Club_Queretaro,clubqueretaro.com,Gallos de Querétaro,sports
Ligue1_ENG,,Ligue1,sports
